"distance.1","instensity.1","distance.A03_R2A_EVO","instensity.A03_R2A_EVO","distance.A03_R2A_T0","instensity.A03_R2A_T0","distance.A03_R2B_EVO","instensity.A03_R2B_EVO","distance.A03_R2B_T0","instensity.A03_R2B_T0","distance.A03_R2C_EVO","instensity.A03_R2C_EVO","distance.A03_R2C_T0","instensity.A03_R2C_T0","distance.A03_R3A_EVO","instensity.A03_R3A_EVO","distance.A03_R3A_T0","instensity.A03_R3A_T0","distance.A03_R3B_EVO","instensity.A03_R3B_EVO","distance.A03_R3B_T0","instensity.A03_R3B_T0","distance.A03_R3C_EVO","instensity.A03_R3C_EVO","distance.A03_R3C_T0","instensity.A03_R3C_T0","distance.A03_R4A_EVO","instensity.A03_R4A_EVO","distance.A03_R4B_EVO","instensity.A03_R4B_EVO","distance.A03_R4C_EVO","instensity.A03_R4C_EVO","distance.A03_R7A_T0","instensity.A03_R7A_T0","distance.A03_R7B_T0","instensity.A03_R7B_T0","distance.A03_R7C_T0","instensity.A03_R7C_T0","distance.A03_R8A_EVO","instensity.A03_R8A_EVO","distance.A03_R8A_T0","instensity.A03_R8A_T0","distance.A03_R8B_EVO","instensity.A03_R8B_EVO","distance.A03_R8B_T0","instensity.A03_R8B_T0","distance.A03_R8C_EVO","instensity.A03_R8C_EVO","distance.A03_R8C_T0","instensity.A03_R8C_T0","distance.A04_R3A_T0","instensity.A04_R3A_T0","distance.A04_R3B_T0","instensity.A04_R3B_T0","distance.A04_R3C_T0","instensity.A04_R3C_T0","distance.A04_R5A_T0","instensity.A04_R5A_T0","distance.A04_R5B_T0","instensity.A04_R5B_T0","distance.A04_R5C_T0","instensity.A04_R5C_T0","distance.A04_R6A_EVO","instensity.A04_R6A_EVO","distance.A04_R6A_T0","instensity.A04_R6A_T0","distance.A04_R6B_EVO","instensity.A04_R6B_EVO","distance.A04_R6B_T0","instensity.A04_R6B_T0","distance.A04_R6C_EVO","instensity.A04_R6C_EVO","distance.A04_R6C_T0","instensity.A04_R6C_T0","distance.A04_R7A_EVO","instensity.A04_R7A_EVO","distance.A04_R7A_T0","instensity.A04_R7A_T0","distance.A04_R7B_EVO","instensity.A04_R7B_EVO","distance.A04_R7B_T0","instensity.A04_R7B_T0","distance.A04_R7C_EVO","instensity.A04_R7C_EVO","distance.A04_R7C_T0","instensity.A04_R7C_T0","distance.A04_R8A_EVO","instensity.A04_R8A_EVO","distance.A04_R8B_EVO","instensity.A04_R8B_EVO","distance.A04_R8C_EVO","instensity.A04_R8C_EVO","distance.A04_R9A_EVO","instensity.A04_R9A_EVO","distance.A04_R9B_EVO","instensity.A04_R9B_EVO","distance.A04_R9C_EVO","instensity.A04_R9C_EVO","distance.A08_R10A_T0","instensity.A08_R10A_T0","distance.A08_R10B_T0","instensity.A08_R10B_T0","distance.A08_R10C_T0","instensity.A08_R10C_T0","distance.A08_R3A_EVO","instensity.A08_R3A_EVO","distance.A08_R3B_EVO","instensity.A08_R3B_EVO","distance.A08_R3C_EVO","instensity.A08_R3C_EVO","distance.A08_R4A_EVO","instensity.A08_R4A_EVO","distance.A08_R4B_EVO","instensity.A08_R4B_EVO","distance.A08_R4C_EVO","instensity.A08_R4C_EVO","distance.A08_R7A_EVO","instensity.A08_R7A_EVO","distance.A08_R7A_T0","instensity.A08_R7A_T0","distance.A08_R7B_EVO","instensity.A08_R7B_EVO","distance.A08_R7B_T0","instensity.A08_R7B_T0","distance.A08_R7C_EVO","instensity.A08_R7C_EVO","distance.A08_R7C_T0","instensity.A08_R7C_T0","distance.A08_R8A_EVO","instensity.A08_R8A_EVO","distance.A08_R8A_T0","instensity.A08_R8A_T0","distance.A08_R8B_EVO","instensity.A08_R8B_EVO","distance.A08_R8B_T0","instensity.A08_R8B_T0","distance.A08_R8C_EVO","instensity.A08_R8C_EVO","distance.A08_R8C_T0","instensity.A08_R8C_T0","distance.A08_R9A_T0","instensity.A08_R9A_T0","distance.A08_R9B_T0","instensity.A08_R9B_T0","distance.A08_R9C_T0","instensity.A08_R9C_T0","distance.A18_R1A_EVO","instensity.A18_R1A_EVO","distance.A18_R1B_EVO","instensity.A18_R1B_EVO","distance.A18_R1C_EVO","instensity.A18_R1C_EVO","distance.A18_R2A_EVO","instensity.A18_R2A_EVO","distance.A18_R2B_EVO","instensity.A18_R2B_EVO","distance.A18_R2C_EVO","instensity.A18_R2C_EVO","distance.A18_R3A_EVO","instensity.A18_R3A_EVO","distance.A18_R3B_EVO","instensity.A18_R3B_EVO","distance.A18_R3C_EVO","instensity.A18_R3C_EVO","distance.A18_R4A_EVO","instensity.A18_R4A_EVO","distance.A18_R4A_T0","instensity.A18_R4A_T0","distance.A18_R4B_EVO","instensity.A18_R4B_EVO","distance.A18_R4B_T0","instensity.A18_R4B_T0","distance.A18_R4C_EVO","instensity.A18_R4C_EVO","distance.A18_R4C_T0","instensity.A18_R4C_T0","distance.A18_R5A_T0","instensity.A18_R5A_T0","distance.A18_R5B_T0","instensity.A18_R5B_T0","distance.A18_R5C_T0","instensity.A18_R5C_T0","distance.A18_R7A_T0","instensity.A18_R7A_T0","distance.A18_R7B_T0","instensity.A18_R7B_T0","distance.A18_R7C_T0","instensity.A18_R7C_T0","distance.A18_R8A_T0","instensity.A18_R8A_T0","distance.A18_R8B_T0","instensity.A18_R8B_T0","distance.A18_R8C_T0","instensity.A18_R8C_T0"
5.753,0.222,5.74,16.181,5.74,0,5.78,0,5.78,0,5.74,0,5.767,0,5.78,0,5.78,0,5.753,0,5.793,0,5.767,0,5.793,0,5.753,0,5.727,0,5.701,20.208,5.753,0,5.74,0,5.767,0,5.753,0,5.78,0,5.753,0,5.753,0,5.767,0,5.753,0.042,5.753,0,5.767,0,5.753,0,5.767,0,5.793,0,5.78,0,5.753,0,5.78,0,5.74,0,5.767,0,5.767,0,5.753,0,5.74,0,5.74,0,5.767,0,5.753,0,5.74,0,5.753,0,5.793,0,5.78,0,5.767,0,5.727,0,5.753,0,5.74,0.083,5.753,0,5.767,0,5.74,0,5.767,0,5.753,6.819,5.74,0,5.753,0,5.753,0,5.727,0,5.767,0,5.727,0.083,5.767,0,5.767,0,5.753,0,5.767,0,5.74,0,5.767,0,5.767,0.139,5.767,0,5.74,0,5.753,0,5.767,0,5.74,0,5.767,0,5.78,0,5.74,0,5.767,0,5.767,0,5.753,0,5.753,0,5.767,0,5.753,0,5.78,0,5.767,0,5.767,0,5.78,0,5.753,0,5.78,0,5.767,0,5.74,0,5.753,0,5.767,0,5.753,0,5.727,0,5.753,0,5.753,0,5.753,0,5.767,0
5.845,0.125,5.831,17.694,5.831,0,5.872,0,5.872,0,5.831,0,5.858,0,5.872,0,5.872,0,5.845,0,5.885,0,5.858,0,5.885,0,5.845,0,5.818,0,5.792,20.056,5.845,0,5.831,0,5.858,0,5.845,0,5.872,0,5.845,0,5.845,0,5.858,0,5.845,0.042,5.845,0,5.858,0,5.845,0,5.858,0,5.885,0,5.872,0,5.845,0,5.872,0,5.831,0,5.858,0,5.858,0,5.845,0,5.831,0,5.831,0,5.858,0,5.845,0,5.831,0,5.845,0,5.885,0,5.872,0,5.858,0,5.818,0,5.845,0,5.831,0.111,5.845,0,5.858,0,5.831,0,5.858,0,5.845,6.847,5.831,0,5.845,0,5.845,0,5.818,0,5.858,0,5.818,0.069,5.858,0,5.858,0,5.845,0,5.858,0,5.831,0,5.858,0,5.858,0.111,5.858,0,5.831,0,5.845,0,5.858,0,5.831,0,5.858,0,5.872,0,5.831,0,5.858,0,5.858,0,5.845,0,5.845,0,5.858,0,5.845,0,5.872,0,5.858,0,5.858,0,5.872,0,5.845,0,5.872,0,5.858,0,5.831,0,5.845,0,5.858,0,5.845,0,5.818,0,5.845,0,5.845,0,5.845,0,5.858,0
5.936,0.292,5.923,17.056,5.923,0,5.963,0,5.963,0,5.923,0,5.95,0,5.963,0,5.963,0,5.936,0,5.977,0,5.95,0,5.977,0,5.936,0,5.909,0,5.882,20.444,5.936,0,5.923,0,5.95,0,5.936,0,5.963,0,5.936,0,5.936,0,5.95,0,5.936,0.069,5.936,0,5.95,0,5.936,0,5.95,0,5.977,0,5.963,0,5.936,0,5.963,0,5.923,0,5.95,0,5.95,0,5.936,0,5.923,0,5.923,0,5.95,0,5.936,0,5.923,0,5.936,0,5.977,0,5.963,0,5.95,0,5.909,0,5.936,0,5.923,0.014,5.936,0,5.95,0,5.923,0,5.95,0,5.936,8.792,5.923,0,5.936,0,5.936,0,5.909,0,5.95,0,5.909,0,5.95,0,5.95,0,5.936,0,5.95,0,5.923,0,5.95,0,5.95,0.069,5.95,0,5.923,0,5.936,0,5.95,0,5.923,0,5.95,0,5.963,0,5.923,0,5.95,0,5.95,0,5.936,0,5.936,0,5.95,0,5.936,0,5.963,0,5.95,0,5.95,0,5.963,0,5.936,0,5.963,0,5.95,0,5.923,0,5.936,0,5.95,0,5.936,0,5.909,0,5.936,0,5.936,0,5.936,0,5.95,0
6.027,0.083,6.014,16.347,6.014,0,6.055,0,6.055,0,6.014,0,6.041,0,6.055,0,6.055,0,6.027,0,6.069,0,6.041,0,6.069,0,6.027,0,6,0,5.973,21.861,6.027,0.042,6.014,0,6.041,0,6.027,0,6.055,0,6.027,0,6.027,0,6.041,0,6.027,0.208,6.027,0,6.041,0,6.027,0,6.041,0,6.069,0,6.055,0,6.027,0,6.055,0,6.014,0,6.041,0,6.041,0,6.027,0,6.014,0,6.014,0,6.041,0,6.027,0,6.014,0,6.027,0,6.069,0,6.055,0,6.041,0,6,0,6.027,0,6.014,0.139,6.027,0,6.041,0,6.014,0,6.041,0,6.027,8.972,6.014,0,6.027,0,6.027,0,6,0,6.041,0,6,0,6.041,0,6.041,0,6.027,0,6.041,0,6.014,0,6.041,0,6.041,0.042,6.041,0,6.014,0,6.027,0,6.041,0,6.014,0,6.041,0,6.055,0,6.014,0,6.041,0,6.041,0,6.027,0,6.027,0,6.041,0,6.027,0,6.055,0,6.041,0,6.041,0,6.055,0,6.027,0,6.055,0,6.041,0,6.014,0,6.027,0,6.041,0,6.027,0,6,0,6.027,0,6.027,0,6.027,0,6.041,0
6.119,0,6.105,14.847,6.105,0,6.147,0,6.147,0,6.105,0,6.133,0,6.147,0,6.147,0,6.119,0,6.161,0,6.133,0,6.161,0,6.119,0,6.091,0,6.063,21.458,6.119,0.236,6.105,0,6.133,0,6.119,0,6.147,0,6.119,0,6.119,0,6.133,0,6.119,0.056,6.119,0,6.133,0,6.119,0,6.133,0,6.161,0,6.147,0,6.119,0,6.147,0,6.105,0,6.133,0,6.133,0,6.119,0,6.105,0,6.105,0,6.133,0,6.119,0,6.105,0,6.119,0,6.161,0,6.147,0,6.133,0,6.091,0,6.119,0,6.105,0.083,6.119,0,6.133,0,6.105,0,6.133,0,6.119,8.639,6.105,0,6.119,0,6.119,0,6.091,0,6.133,0,6.091,0,6.133,0,6.133,0,6.119,0,6.133,0,6.105,0,6.133,0,6.133,0.028,6.133,0,6.105,0,6.119,0,6.133,0,6.105,0,6.133,0,6.147,0,6.105,0,6.133,0,6.133,0,6.119,0,6.119,0,6.133,0,6.119,0,6.147,0,6.133,0,6.133,0,6.147,0,6.119,0,6.147,0,6.133,0,6.105,0,6.119,0,6.133,0,6.119,0,6.091,0,6.119,0,6.119,0,6.119,0,6.133,0
6.21,0.014,6.196,14.944,6.196,0,6.239,0,6.239,0.056,6.196,0,6.224,0,6.239,0,6.239,0,6.21,0,6.253,0,6.224,0,6.253,0.069,6.21,0,6.182,0.056,6.154,21.056,6.21,0.125,6.196,0,6.224,0,6.21,0,6.239,0,6.21,0,6.21,0,6.224,0,6.21,0.028,6.21,0,6.224,0,6.21,0,6.224,0,6.253,0,6.239,0,6.21,0,6.239,0,6.196,0,6.224,0,6.224,0,6.21,0,6.196,0,6.196,0,6.224,0,6.21,0,6.196,0,6.21,0,6.253,0,6.239,0,6.224,0,6.182,0,6.21,0,6.196,0.069,6.21,0,6.224,0,6.196,0,6.224,0,6.21,8.069,6.196,0,6.21,0,6.21,0,6.182,0,6.224,0,6.182,0,6.224,0,6.224,0,6.21,0,6.224,0,6.196,0,6.224,0,6.224,0,6.224,0,6.196,0,6.21,0,6.224,0,6.196,0,6.224,0,6.239,0,6.196,0,6.224,0,6.224,0,6.21,0,6.21,0,6.224,0,6.21,0,6.239,0,6.224,0,6.224,0,6.239,0,6.21,0,6.239,0,6.224,0,6.196,0,6.21,0,6.224,0,6.21,0,6.182,0,6.21,0,6.21,0,6.21,0,6.224,0
6.301,0.069,6.287,16.986,6.287,0,6.33,0,6.33,0.014,6.287,0,6.316,0,6.33,0,6.33,0,6.301,0,6.345,0,6.316,0,6.345,0.097,6.301,0,6.273,0.389,6.244,20.542,6.301,0,6.287,0,6.316,0,6.301,0,6.33,0,6.301,0,6.301,0,6.316,0,6.301,0.014,6.301,0,6.316,0,6.301,0,6.316,0,6.345,0,6.33,0,6.301,0,6.33,0,6.287,0,6.316,0,6.316,0,6.301,0,6.287,0,6.287,0,6.316,0,6.301,0,6.287,0,6.301,0,6.345,0,6.33,0,6.316,0,6.273,0.014,6.301,0,6.287,0.167,6.301,0,6.316,0,6.287,0,6.316,0,6.301,8.722,6.287,0,6.301,0,6.301,0,6.273,0,6.316,0,6.273,0,6.316,0.028,6.316,0,6.301,0,6.316,0,6.287,0,6.316,0,6.316,0.194,6.316,0,6.287,0,6.301,0,6.316,0,6.287,0,6.316,0,6.33,0,6.287,0,6.316,0,6.316,0,6.301,0,6.301,0,6.316,0,6.301,0,6.33,0,6.316,0,6.316,0,6.33,0,6.301,0,6.33,0,6.316,0,6.287,0,6.301,0,6.316,0,6.301,0,6.273,0,6.301,0,6.301,0,6.301,0,6.316,0
6.393,1.097,6.378,18.181,6.378,0,6.422,0,6.422,0,6.378,0,6.407,0,6.422,0,6.422,0,6.393,0,6.437,0,6.407,0,6.437,0,6.393,0,6.364,0.875,6.335,21.764,6.393,0,6.378,0,6.407,0,6.393,0,6.422,0,6.393,0,6.393,0,6.407,0,6.393,0,6.393,0,6.407,0,6.393,0,6.407,0,6.437,0,6.422,0,6.393,0,6.422,0,6.378,0,6.407,0,6.407,0,6.393,0,6.378,0,6.378,0,6.407,0,6.393,0,6.378,0,6.393,0,6.437,0,6.422,0,6.407,0,6.364,0.069,6.393,0,6.378,0.125,6.393,0,6.407,0,6.378,0,6.407,0,6.393,9.375,6.378,0,6.393,0,6.393,0,6.364,0,6.407,0.25,6.364,0,6.407,0.042,6.407,0,6.393,0,6.407,0,6.378,0,6.407,0,6.407,0.111,6.407,0,6.378,0,6.393,0,6.407,0,6.378,0,6.407,0,6.422,0,6.378,0,6.407,0,6.407,0,6.393,0,6.393,0,6.407,0,6.393,0,6.422,0,6.407,0,6.407,0,6.422,0,6.393,0,6.422,0,6.407,0,6.378,0,6.393,0,6.407,0,6.393,0,6.364,0,6.393,0,6.393,0,6.393,0,6.407,0
6.484,1.764,6.469,16.861,6.469,0,6.514,0,6.514,0,6.469,0,6.499,0,6.514,0,6.514,0,6.484,0,6.529,0,6.499,0,6.529,0,6.484,0,6.455,0.028,6.425,21.875,6.484,0,6.469,0,6.499,0,6.484,0,6.514,0,6.484,0,6.484,0,6.499,0,6.484,0.042,6.484,0,6.499,0,6.484,0,6.499,0,6.529,0,6.514,0,6.484,0,6.514,0,6.469,0,6.499,0,6.499,0,6.484,0,6.469,0,6.469,0,6.499,0,6.484,0,6.469,0,6.484,0,6.529,0,6.514,0,6.499,0,6.455,0,6.484,0,6.469,0.347,6.484,0,6.499,0,6.469,0,6.499,0,6.484,8.958,6.469,0,6.484,0,6.484,0,6.455,0,6.499,0.028,6.455,0,6.499,0,6.499,0,6.484,0,6.499,0,6.469,0,6.499,0,6.499,0,6.499,0,6.469,0,6.484,0,6.499,0,6.469,0,6.499,0,6.514,0,6.469,0,6.499,0,6.499,0,6.484,0,6.484,0,6.499,0,6.484,0,6.514,0,6.499,0,6.499,0,6.514,0,6.484,0,6.514,0,6.499,0,6.469,0,6.484,0,6.499,0,6.484,0,6.455,0,6.484,0,6.484,0,6.484,0,6.499,0
6.575,0.056,6.56,16.194,6.56,0,6.606,0,6.606,0,6.56,0.014,6.59,0,6.606,0,6.606,0,6.575,0,6.621,0,6.59,0,6.621,0,6.575,0,6.545,0,6.516,22.583,6.575,0,6.56,0,6.59,0,6.575,0,6.606,0,6.575,0,6.575,0,6.59,0,6.575,0.014,6.575,0,6.59,0,6.575,0,6.59,0,6.621,0,6.606,0,6.575,0,6.606,0,6.56,0,6.59,0,6.59,0,6.575,0,6.56,0,6.56,0,6.59,0.236,6.575,0,6.56,0,6.575,0,6.621,0,6.606,0,6.59,0,6.545,0,6.575,0,6.56,0.486,6.575,0,6.59,0,6.56,0,6.59,0,6.575,9.528,6.56,0,6.575,0,6.575,0,6.545,0,6.59,0,6.545,0.028,6.59,0,6.59,0,6.575,0,6.59,0,6.56,0,6.59,0,6.59,0,6.59,0,6.56,0,6.575,0,6.59,0,6.56,0,6.59,0,6.606,0,6.56,0,6.59,0,6.59,0,6.575,0,6.575,0,6.59,0,6.575,0,6.606,0,6.59,0,6.59,0,6.606,0,6.575,0,6.606,0,6.59,0,6.56,0,6.575,0,6.59,0,6.575,0,6.545,0,6.575,0,6.575,0,6.575,0,6.59,0
6.667,0.139,6.651,16.181,6.651,0,6.697,0,6.697,0,6.651,0.069,6.682,0,6.697,0,6.697,0,6.667,0,6.713,0,6.682,0,6.713,0,6.667,0,6.636,0,6.606,23.389,6.667,0.014,6.651,0,6.682,0,6.667,0,6.697,0,6.667,0,6.667,0,6.682,0,6.667,0,6.667,0,6.682,0,6.667,0,6.682,0,6.713,0,6.697,0,6.667,0,6.697,0,6.651,0,6.682,0,6.682,0,6.667,0,6.651,0,6.651,0,6.682,0.292,6.667,0,6.651,0,6.667,0,6.713,0,6.697,0,6.682,0,6.636,0,6.667,0,6.651,0.736,6.667,0,6.682,0,6.651,0,6.682,0,6.667,9.806,6.651,0,6.667,0,6.667,0,6.636,0,6.682,0,6.636,0,6.682,0.056,6.682,0,6.667,0,6.682,0,6.651,0,6.682,0,6.682,0,6.682,0,6.651,0,6.667,0,6.682,0,6.651,0,6.682,0,6.697,0,6.651,0,6.682,0,6.682,0,6.667,0,6.667,0,6.682,0,6.667,0,6.697,0,6.682,0,6.682,0,6.697,0,6.667,0,6.697,0,6.682,0,6.651,0,6.667,0,6.682,0,6.667,0,6.636,0,6.667,0,6.667,0,6.667,0,6.682,0
6.758,0.097,6.743,15.917,6.743,0,6.789,0,6.789,0,6.743,0,6.773,0,6.789,0,6.789,0,6.758,0,6.805,0,6.773,0,6.805,0,6.758,0,6.727,0,6.697,24.792,6.758,0,6.743,0,6.773,0,6.758,0,6.789,0,6.758,0,6.758,0,6.773,0,6.758,0,6.758,0,6.773,0,6.758,0,6.773,0,6.805,0,6.789,0,6.758,0,6.789,0,6.743,0,6.773,0,6.773,0,6.758,0,6.743,0,6.743,0,6.773,0,6.758,0,6.743,0,6.758,0,6.805,0,6.789,0,6.773,0,6.727,0,6.758,0,6.743,0.306,6.758,0,6.773,0,6.743,0,6.773,0,6.758,8.222,6.743,0,6.758,0,6.758,0,6.727,0,6.773,0,6.727,0,6.773,0.028,6.773,0,6.758,0,6.773,0,6.743,0,6.773,0,6.773,0,6.773,0,6.743,0,6.758,0,6.773,0,6.743,0,6.773,0,6.789,0,6.743,0,6.773,0,6.773,0,6.758,0,6.758,0,6.773,0,6.758,0,6.789,0,6.773,0,6.773,0,6.789,0,6.758,0,6.789,0,6.773,0,6.743,0,6.758,0,6.773,0,6.758,0,6.727,0,6.758,0,6.758,0,6.758,0,6.773,0
6.849,0,6.834,18.153,6.834,0,6.881,0,6.881,0,6.834,0,6.865,0,6.881,0,6.881,0,6.849,0,6.897,0,6.865,0,6.897,0,6.849,0,6.818,0,6.787,24.681,6.849,0,6.834,0,6.865,0,6.849,0,6.881,0,6.849,0,6.849,0,6.865,0,6.849,0.014,6.849,0,6.865,0,6.849,0,6.865,0,6.897,0,6.881,0,6.849,0,6.881,0,6.834,0,6.865,0,6.865,0,6.849,0,6.834,0,6.834,0,6.865,0,6.849,0,6.834,0,6.849,0,6.897,0,6.881,0,6.865,0,6.818,0,6.849,0,6.834,0.486,6.849,0,6.865,0,6.834,0,6.865,0,6.849,8.931,6.834,0,6.849,0,6.849,0,6.818,0,6.865,0,6.818,0,6.865,0.014,6.865,0,6.849,0,6.865,0,6.834,0,6.865,0,6.865,0,6.865,0,6.834,0,6.849,0,6.865,0,6.834,0,6.865,0,6.881,0,6.834,0,6.865,0,6.865,0,6.849,0,6.849,0,6.865,0,6.849,0,6.881,0,6.865,0,6.865,0,6.881,0,6.849,0,6.881,0,6.865,0,6.834,0,6.849,0,6.865,0,6.849,0,6.818,0,6.849,0,6.849,0,6.849,0,6.865,0
6.941,0.014,6.925,18.069,6.925,0,6.972,0,6.972,0,6.925,0.097,6.957,0,6.972,0,6.972,0,6.941,0,6.989,0,6.957,0,6.989,0,6.941,0,6.909,0,6.878,21.944,6.941,0,6.925,0,6.957,0,6.941,0,6.972,0,6.941,0,6.941,0,6.957,0,6.941,0,6.941,0,6.957,0,6.941,0,6.957,0,6.989,0,6.972,0,6.941,0,6.972,0,6.925,0,6.957,0,6.957,0,6.941,0,6.925,0,6.925,0,6.957,0,6.941,0,6.925,0,6.941,0,6.989,0,6.972,0,6.957,0,6.909,0,6.941,0,6.925,0.347,6.941,0,6.957,0,6.925,0,6.957,0,6.941,10.458,6.925,0,6.941,0,6.941,0,6.909,0,6.957,0,6.909,0,6.957,0.028,6.957,0,6.941,0,6.957,0,6.925,0,6.957,0,6.957,0.014,6.957,0,6.925,0,6.941,0,6.957,0,6.925,0,6.957,0,6.972,0,6.925,0,6.957,0,6.957,0,6.941,0,6.941,0,6.957,0,6.941,0,6.972,0,6.957,0,6.957,0,6.972,0,6.941,0,6.972,0,6.957,0,6.925,0,6.941,0,6.957,0,6.941,0,6.909,0,6.941,0,6.941,0,6.941,0,6.957,0
7.032,0,7.016,18.972,7.016,0,7.064,0,7.064,0.028,7.016,0.056,7.048,0,7.064,0,7.064,0,7.032,0,7.08,0,7.048,0,7.08,0,7.032,0,7,0.014,6.968,20.611,7.032,0,7.016,0,7.048,0,7.032,0,7.064,0,7.032,0,7.032,0,7.048,0,7.032,0,7.032,0,7.048,0,7.032,0,7.048,0,7.08,0,7.064,0,7.032,0,7.064,0,7.016,0,7.048,0,7.048,0,7.032,0,7.016,0,7.016,0,7.048,0,7.032,0,7.016,0,7.032,0,7.08,0,7.064,0,7.048,0,7,0,7.032,0,7.016,0.375,7.032,0,7.048,0,7.016,0,7.048,0,7.032,10.833,7.016,0,7.032,0,7.032,0,7,0,7.048,0,7,0,7.048,0.069,7.048,0,7.032,0,7.048,0,7.016,0,7.048,0,7.048,0.042,7.048,0,7.016,0,7.032,0,7.048,0,7.016,0,7.048,0,7.064,0,7.016,0,7.048,0,7.048,0,7.032,0,7.032,0,7.048,0,7.032,0,7.064,0,7.048,0,7.048,0,7.064,0,7.032,0,7.064,0,7.048,0,7.016,0,7.032,0,7.048,0,7.032,0,7,0,7.032,0,7.032,0,7.032,0,7.048,0
7.123,0.264,7.107,18.292,7.107,0,7.156,0,7.156,0,7.107,0,7.14,0,7.156,0,7.156,0,7.123,0,7.172,0,7.14,0,7.172,0,7.123,0,7.091,0.042,7.059,21.403,7.123,0,7.107,0,7.14,0,7.123,0,7.156,0,7.123,0,7.123,0,7.14,0,7.123,0,7.123,0,7.14,0,7.123,0,7.14,0,7.172,0,7.156,0,7.123,0,7.156,0,7.107,0,7.14,0,7.14,0,7.123,0,7.107,0,7.107,0,7.14,0,7.123,0,7.107,0,7.123,0,7.172,0,7.156,0,7.14,0,7.091,0,7.123,0,7.107,0.292,7.123,0,7.14,0,7.107,0,7.14,0,7.123,9.542,7.107,0,7.123,0,7.123,0,7.091,0,7.14,0,7.091,0,7.14,0.042,7.14,0,7.123,0,7.14,0,7.107,0,7.14,0,7.14,0.056,7.14,0,7.107,0,7.123,0,7.14,0,7.107,0,7.14,0,7.156,0,7.107,0,7.14,0,7.14,0,7.123,0,7.123,0,7.14,0,7.123,0,7.156,0,7.14,0,7.14,0,7.156,0,7.123,0,7.156,0,7.14,0,7.107,0,7.123,0,7.14,0,7.123,0,7.091,0,7.123,0,7.123,0,7.123,0,7.14,0
7.215,0.431,7.198,17.542,7.198,0,7.248,0,7.248,0,7.198,0,7.231,0,7.248,0,7.248,0,7.215,0,7.264,0,7.231,0,7.264,0,7.215,0,7.182,0.083,7.149,22.306,7.215,0,7.198,0,7.231,0,7.215,0,7.248,0,7.215,0,7.215,0,7.231,0,7.215,0.028,7.215,0,7.231,0,7.215,0,7.231,0,7.264,0,7.248,0,7.215,0,7.248,0,7.198,0,7.231,0,7.231,0,7.215,0,7.198,0,7.198,0,7.231,0,7.215,0,7.198,0,7.215,0,7.264,0,7.248,0,7.231,0,7.182,0,7.215,0,7.198,0.361,7.215,0,7.231,0,7.198,0,7.231,0,7.215,9.347,7.198,0,7.215,0,7.215,0,7.182,0,7.231,0,7.182,0.014,7.231,0,7.231,0,7.215,0,7.231,0,7.198,0,7.231,0,7.231,0.028,7.231,0,7.198,0,7.215,0,7.231,0,7.198,0,7.231,0,7.248,0,7.198,0,7.231,0,7.231,0,7.215,0,7.215,0,7.231,0,7.215,0,7.248,0,7.231,0,7.231,0,7.248,0,7.215,0,7.248,0,7.231,0,7.198,0,7.215,0,7.231,0,7.215,0,7.182,0,7.215,0,7.215,0,7.215,0,7.231,0
7.306,0.292,7.289,17.097,7.289,0,7.339,0,7.339,0.042,7.289,0,7.323,0,7.339,0,7.339,0,7.306,0,7.356,0,7.323,0,7.356,0,7.306,0,7.273,0.056,7.24,23.306,7.306,0,7.289,0,7.323,0,7.306,0,7.339,0,7.306,0,7.306,0,7.323,0,7.306,0.014,7.306,0,7.323,0,7.306,0,7.323,0,7.356,0,7.339,0,7.306,0,7.339,0,7.289,0,7.323,0,7.323,0,7.306,0,7.289,0,7.289,0,7.323,0,7.306,0,7.289,0,7.306,0,7.356,0,7.339,0,7.323,0,7.273,0,7.306,0,7.289,0.375,7.306,0,7.323,0,7.289,0,7.323,0,7.306,9.264,7.289,0,7.306,0,7.306,0,7.273,0,7.323,0,7.273,0.056,7.323,0.014,7.323,0,7.306,0,7.323,0,7.289,0,7.323,0,7.323,0,7.323,0,7.289,0,7.306,0,7.323,0,7.289,0,7.323,0,7.339,0,7.289,0,7.323,0,7.323,0,7.306,0,7.306,0,7.323,0,7.306,0,7.339,0,7.323,0,7.323,0,7.339,0,7.306,0,7.339,0,7.323,0,7.289,0,7.306,0,7.323,0,7.306,0,7.273,0,7.306,0,7.306,0,7.306,0,7.323,0
